time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,sunshine_duration,city,latitude,longitude
2023-04-24,25.2,14.8,19.3,0.6,11.2,39072.57,Medellín,6.2518,-75.5636
2023-04-25,25.3,15.6,19.5,2.8,8.4,38443.8,Medellín,6.2518,-75.5636
2023-04-26,25.6,14.5,19.0,7.9,6.3,36608.28,Medellín,6.2518,-75.5636
2023-04-27,26.8,15.1,19.4,4.5,10.5,36776.64,Medellín,6.2518,-75.5636
2023-04-28,27.1,16.0,20.2,4.2,9.2,38907.64,Medellín,6.2518,-75.5636
2023-04-29,27.0,15.7,19.7,8.8,9.1,34784.38,Medellín,6.2518,-75.5636
2023-04-30,26.0,15.1,19.8,4.9,10.5,38906.71,Medellín,6.2518,-75.5636
2023-05-01,27.1,14.5,20.2,0.3,13.0,39243.75,Medellín,6.2518,-75.5636
2023-05-02,26.8,15.3,20.5,0.0,10.9,40951.18,Medellín,6.2518,-75.5636
2023-05-03,27.9,14.5,20.2,0.0,13.4,39241.58,Medellín,6.2518,-75.5636
2023-05-04,27.4,15.5,20.5,0.1,12.1,38909.45,Medellín,6.2518,-75.5636
2023-05-05,27.4,15.4,20.8,0.0,13.0,38755.51,Medellín,6.2518,-75.5636
2023-05-06,28.3,16.4,21.0,0.0,13.5,38408.79,Medellín,6.2518,-75.5636
2023-05-07,28.2,15.9,21.1,0.0,13.4,38915.61,Medellín,6.2518,-75.5636
2023-05-08,28.5,17.0,21.6,0.1,12.1,38956.7,Medellín,6.2518,-75.5636
2023-05-09,28.6,16.7,21.4,1.3,12.8,30808.24,Medellín,6.2518,-75.5636
2023-05-10,25.2,17.5,20.5,0.6,6.1,8204.56,Medellín,6.2518,-75.5636
2023-05-11,26.9,15.1,20.6,0.3,12.3,35050.57,Medellín,6.2518,-75.5636
2023-05-12,28.2,16.3,20.7,0.2,8.7,26431.54,Medellín,6.2518,-75.5636
2023-05-13,27.6,16.9,20.8,18.0,13.3,32400.0,Medellín,6.2518,-75.5636
2023-05-14,28.0,16.1,20.6,2.6,11.4,18166.62,Medellín,6.2518,-75.5636
2023-05-15,25.8,16.5,19.4,6.2,7.1,9263.36,Medellín,6.2518,-75.5636
2023-05-16,26.7,15.6,19.6,14.7,8.7,29516.36,Medellín,6.2518,-75.5636
2023-05-17,26.7,16.2,19.9,3.7,10.5,32395.43,Medellín,6.2518,-75.5636
2023-05-18,28.4,13.6,20.7,0.8,11.4,42134.79,Medellín,6.2518,-75.5636
2023-05-19,28.1,17.7,21.4,0.7,9.4,30232.81,Medellín,6.2518,-75.5636
2023-05-20,26.4,17.5,20.5,12.1,5.7,19701.35,Medellín,6.2518,-75.5636
2023-05-21,24.4,17.6,20.2,16.4,7.6,22066.76,Medellín,6.2518,-75.5636
2023-05-22,26.3,17.0,20.0,14.8,9.8,28283.69,Medellín,6.2518,-75.5636
2023-05-23,25.1,16.0,19.2,13.8,5.4,11908.54,Medellín,6.2518,-75.5636
2023-05-24,25.7,15.1,19.1,14.1,8.9,20423.48,Medellín,6.2518,-75.5636
2023-05-25,26.5,14.7,19.0,17.6,4.4,34253.23,Medellín,6.2518,-75.5636
2023-05-26,24.6,15.0,18.8,5.9,3.5,18708.96,Medellín,6.2518,-75.5636
2023-05-27,26.8,16.0,20.2,2.1,11.4,38165.89,Medellín,6.2518,-75.5636
2023-05-28,27.1,15.9,19.3,13.9,6.8,30181.0,Medellín,6.2518,-75.5636
2023-05-29,26.8,16.2,20.0,28.6,5.1,39152.12,Medellín,6.2518,-75.5636
2023-05-30,24.6,16.4,19.9,9.3,6.8,35722.97,Medellín,6.2518,-75.5636
2023-05-31,26.9,15.4,20.4,5.7,9.2,35440.5,Medellín,6.2518,-75.5636
2023-06-01,24.1,16.6,19.3,7.5,6.6,11405.95,Medellín,6.2518,-75.5636
2023-06-02,24.7,15.7,19.6,4.4,5.8,28321.5,Medellín,6.2518,-75.5636
2023-06-03,28.1,15.5,20.5,1.2,6.0,42263.33,Medellín,6.2518,-75.5636
2023-06-04,27.9,16.4,20.5,0.0,9.0,35552.09,Medellín,6.2518,-75.5636
2023-06-05,25.9,15.9,20.1,0.5,12.9,39164.3,Medellín,6.2518,-75.5636
2023-06-06,27.0,16.1,20.4,0.7,12.9,41162.96,Medellín,6.2518,-75.5636
2023-06-07,27.1,16.2,20.5,0.4,13.5,39030.62,Medellín,6.2518,-75.5636
2023-06-08,25.8,15.5,19.5,9.1,9.1,29761.54,Medellín,6.2518,-75.5636
2023-06-09,27.0,16.3,20.7,4.1,11.6,41963.65,Medellín,6.2518,-75.5636
2023-06-10,26.3,15.2,19.9,2.5,8.3,42102.1,Medellín,6.2518,-75.5636
2023-06-11,26.9,15.1,20.1,0.4,12.2,38039.89,Medellín,6.2518,-75.5636
2023-06-12,27.4,15.3,20.4,0.0,14.7,41690.64,Medellín,6.2518,-75.5636
2023-06-13,27.6,15.2,20.7,0.0,15.0,40388.17,Medellín,6.2518,-75.5636
2023-06-14,27.6,16.7,20.8,0.5,14.2,36022.23,Medellín,6.2518,-75.5636
2023-06-15,26.9,15.6,20.4,0.3,16.0,36599.39,Medellín,6.2518,-75.5636
2023-06-16,27.2,15.7,20.4,0.5,14.2,38815.61,Medellín,6.2518,-75.5636
2023-06-17,25.4,15.9,19.6,1.4,10.1,34641.06,Medellín,6.2518,-75.5636
2023-06-18,26.2,14.6,20.0,0.0,15.3,41196.04,Medellín,6.2518,-75.5636
2023-06-19,27.4,12.0,19.7,0.0,14.2,42314.07,Medellín,6.2518,-75.5636
2023-06-20,26.9,12.7,19.7,0.0,14.2,40935.34,Medellín,6.2518,-75.5636
2023-06-21,27.6,13.0,20.3,0.1,16.3,40860.27,Medellín,6.2518,-75.5636
2023-06-22,27.7,15.2,20.6,0.9,12.9,31116.78,Medellín,6.2518,-75.5636
2023-06-23,28.1,16.1,20.7,1.7,9.1,37954.37,Medellín,6.2518,-75.5636
2023-06-24,27.8,16.6,20.5,1.0,10.3,30842.35,Medellín,6.2518,-75.5636
2023-06-25,24.2,16.4,19.6,13.5,4.7,25721.65,Medellín,6.2518,-75.5636
2023-06-26,25.5,15.2,19.2,2.8,9.4,28648.16,Medellín,6.2518,-75.5636
2023-06-27,26.9,15.7,20.6,0.0,12.3,40165.46,Medellín,6.2518,-75.5636
2023-06-28,28.2,16.1,21.0,0.1,9.7,35854.12,Medellín,6.2518,-75.5636
2023-06-29,28.9,16.1,21.4,0.1,14.2,39621.18,Medellín,6.2518,-75.5636
2023-06-30,28.2,15.6,21.2,0.0,17.6,36234.61,Medellín,6.2518,-75.5636
2023-07-01,28.4,15.1,20.8,2.0,11.9,39213.16,Medellín,6.2518,-75.5636
2023-07-02,28.7,16.6,20.7,2.0,9.7,37933.27,Medellín,6.2518,-75.5636
2023-07-03,27.3,16.0,20.1,9.7,11.1,32059.54,Medellín,6.2518,-75.5636
2023-07-04,26.1,17.4,20.6,3.7,5.4,30993.4,Medellín,6.2518,-75.5636
2023-07-05,27.6,16.9,21.1,1.6,12.6,39730.03,Medellín,6.2518,-75.5636
2023-07-06,26.8,14.6,19.5,15.7,6.3,27421.87,Medellín,6.2518,-75.5636
2023-07-07,25.2,15.0,19.5,2.7,7.9,37787.13,Medellín,6.2518,-75.5636
2023-07-08,27.5,13.9,19.6,0.5,10.5,33315.49,Medellín,6.2518,-75.5636
2023-07-09,27.2,16.2,20.5,0.0,15.7,40011.57,Medellín,6.2518,-75.5636
2023-07-10,27.5,13.7,20.0,0.0,14.2,41816.31,Medellín,6.2518,-75.5636
2023-07-11,27.7,14.5,20.4,0.0,14.1,42094.49,Medellín,6.2518,-75.5636
2023-07-12,27.8,13.6,20.4,0.1,13.0,42243.04,Medellín,6.2518,-75.5636
2023-07-13,27.9,14.0,20.4,0.0,15.0,40514.3,Medellín,6.2518,-75.5636
2023-07-14,27.9,15.9,20.6,2.4,13.8,34913.21,Medellín,6.2518,-75.5636
2023-07-15,28.0,16.3,21.1,2.5,14.3,40863.98,Medellín,6.2518,-75.5636
2023-07-16,28.5,16.4,21.0,0.9,14.8,36309.95,Medellín,6.2518,-75.5636
2023-07-17,28.7,14.7,20.7,0.5,15.8,38295.69,Medellín,6.2518,-75.5636
2023-07-18,27.7,15.7,20.7,0.2,18.0,40862.51,Medellín,6.2518,-75.5636
2023-07-19,28.1,13.7,20.3,0.0,15.8,39776.52,Medellín,6.2518,-75.5636
2023-07-20,28.3,13.7,20.9,0.0,16.6,40986.04,Medellín,6.2518,-75.5636
2023-07-21,27.9,13.7,20.6,0.0,16.3,29530.69,Medellín,6.2518,-75.5636
2023-07-22,27.3,14.2,20.3,0.0,15.0,33501.53,Medellín,6.2518,-75.5636
2023-07-23,28.5,12.7,20.4,0.0,15.1,38574.9,Medellín,6.2518,-75.5636
2023-07-24,29.5,12.8,20.8,0.0,15.5,42143.62,Medellín,6.2518,-75.5636
2023-07-25,29.8,14.7,20.8,0.3,12.7,39453.58,Medellín,6.2518,-75.5636
2023-07-26,28.9,15.4,20.0,7.7,6.2,29490.36,Medellín,6.2518,-75.5636
2023-07-27,28.3,16.3,20.2,4.8,8.3,34237.0,Medellín,6.2518,-75.5636
2023-07-28,29.0,16.5,21.3,0.2,16.3,39553.32,Medellín,6.2518,-75.5636
2023-07-29,28.4,14.3,20.8,0.4,16.9,41869.52,Medellín,6.2518,-75.5636
2023-07-30,28.6,15.0,20.8,0.1,16.8,38053.36,Medellín,6.2518,-75.5636
2023-07-31,28.6,14.6,21.1,0.0,18.7,41170.47,Medellín,6.2518,-75.5636
2023-08-01,28.0,13.1,20.0,0.1,18.0,40508.5,Medellín,6.2518,-75.5636
2023-08-02,28.3,12.3,20.2,0.0,14.6,42043.8,Medellín,6.2518,-75.5636
2023-08-03,28.7,14.3,20.6,0.0,14.3,41411.58,Medellín,6.2518,-75.5636
2023-08-04,29.3,13.7,20.7,0.0,15.4,40472.41,Medellín,6.2518,-75.5636
2023-08-05,30.4,14.2,21.4,0.2,16.1,42006.83,Medellín,6.2518,-75.5636
2023-08-06,30.6,14.0,21.6,0.3,16.1,38605.82,Medellín,6.2518,-75.5636
2023-08-07,30.3,14.5,20.9,2.2,15.9,32653.01,Medellín,6.2518,-75.5636
2023-08-08,29.4,14.9,21.3,0.0,14.9,39621.88,Medellín,6.2518,-75.5636
2023-08-09,29.4,13.3,21.0,0.0,14.3,41954.27,Medellín,6.2518,-75.5636
2023-08-10,29.8,17.3,22.1,0.1,12.4,39085.29,Medellín,6.2518,-75.5636
2023-08-11,30.5,15.9,22.3,2.6,15.7,36538.13,Medellín,6.2518,-75.5636
2023-08-12,29.7,16.1,22.2,0.2,16.9,33094.08,Medellín,6.2518,-75.5636
2023-08-13,29.1,15.7,21.5,0.1,10.6,26644.22,Medellín,6.2518,-75.5636
2023-08-14,29.5,15.9,21.5,0.2,14.5,40035.49,Medellín,6.2518,-75.5636
2023-08-15,28.8,16.1,20.8,1.1,14.1,35287.37,Medellín,6.2518,-75.5636
2023-08-16,28.1,14.3,20.2,4.6,6.2,34957.95,Medellín,6.2518,-75.5636
2023-08-17,29.2,16.0,21.3,0.0,12.6,37117.34,Medellín,6.2518,-75.5636
2023-08-18,28.4,16.6,20.4,8.2,8.4,29681.33,Medellín,6.2518,-75.5636
2023-08-19,27.4,16.7,20.8,12.0,7.7,40851.91,Medellín,6.2518,-75.5636
2023-08-20,26.3,15.7,20.3,12.0,6.6,24742.53,Medellín,6.2518,-75.5636
2023-08-21,25.2,16.7,20.4,22.1,8.0,26100.9,Medellín,6.2518,-75.5636
2023-08-22,25.6,17.1,19.8,21.6,10.6,14614.37,Medellín,6.2518,-75.5636
2023-08-23,28.0,14.3,20.4,0.4,15.2,40086.62,Medellín,6.2518,-75.5636
2023-08-24,26.8,15.9,20.3,0.8,13.0,39118.45,Medellín,6.2518,-75.5636
2023-08-25,27.6,15.8,20.6,0.6,13.9,39109.12,Medellín,6.2518,-75.5636
2023-08-26,28.8,14.8,21.1,0.1,12.6,40459.97,Medellín,6.2518,-75.5636
2023-08-27,28.0,16.5,21.1,0.3,8.9,41305.95,Medellín,6.2518,-75.5636
2023-08-28,28.8,17.0,21.8,0.1,15.0,39019.55,Medellín,6.2518,-75.5636
2023-08-29,27.8,16.1,21.2,0.0,12.7,38993.02,Medellín,6.2518,-75.5636
2023-08-30,29.5,16.6,22.1,0.0,15.5,40691.86,Medellín,6.2518,-75.5636
2023-08-31,29.1,12.9,20.8,0.0,17.8,40529.59,Medellín,6.2518,-75.5636
2023-09-01,28.7,13.7,20.9,0.1,11.5,41590.94,Medellín,6.2518,-75.5636
2023-09-02,29.0,14.3,20.2,14.4,16.6,29193.09,Medellín,6.2518,-75.5636
2023-09-03,27.9,15.5,20.4,8.9,9.4,32647.37,Medellín,6.2518,-75.5636
2023-09-04,28.1,14.5,20.4,3.5,14.8,40541.29,Medellín,6.2518,-75.5636
2023-09-05,29.1,17.1,21.6,0.0,14.8,38634.99,Medellín,6.2518,-75.5636
2023-09-06,29.3,15.9,21.6,0.0,15.1,39137.59,Medellín,6.2518,-75.5636
